dataId,trsmDy,trmnId,trsmUtcTime,trsmYear,trsmMt,trsmTm,trsmMs,vhcleLot,vhcleLat,vhcleEvt,trmnTypeCd,gpsUtcTime,vhcleDrc,vhcleSped,trnsmStatCd,lcdtRevisnStatCd,vhcleTypeCd,rgtrId,regDt,addr
PVDL-IDV1257528440-1722573795-2145,2,IDV1257528440,1722575944080.0,2024,08,141904,080,127.023369,37.634038,52.0,001,1722575944001.0,357.8,0.0,0,0,9228,v2x,2024-08-02 05:19:04,강북구
PVDL-IDV1257528150-1722573998-1951,2,IDV1257528150,1722575944132.0,2024,08,141904,132,127.051143,37.500219,28.0,001,1722575944009.0,347.2875,9.0,2,0,9228,v2x,2024-08-02 05:19:04,강남구
PVDL-IDV1257528020-1722544718-31222,2,IDV1257528020,1722575944981.0,2024,08,141904,981,126.9973452,37.5707093,-1.0,001,1722575945003.0,85.98750000000001,0.0,7,7,9228,v2x,2024-08-02 05:19:04,종로구
PVDL-IDV1257528020-1722544718-31221,2,IDV1257528020,1722575944031.0,2024,08,141904,031,126.9973452,37.5707093,-1.0,001,1722575944005.0,85.98750000000001,0.0,7,7,9228,v2x,2024-08-02 05:19:04,종로구
PVDL-IDV1257527640-1722560715-15219,2,IDV1257527640,1722575944402.0,2024,08,141904,402,126.923149,37.593308,52.0,001,1722575944009.0,342.0375,11.0,1,0,9228,v2x,2024-08-02 05:19:04,은평구
PVDL-IDV1257526510-1722574121-1849,2,IDV1257526510,1722575944094.0,2024,08,141904,094,126.951624,37.580665,67.0,001,1722575944009.0,137.0875,2.0,2,0,9228,v2x,2024-08-02 05:19:04,서대문구
PVDL-IDV1257526500-1722538428-37512,2,IDV1257526500,1722575944187.0,2024,08,141904,187,126.906671,37.616855,23.0,001,1722575944008.0,150.7375,1.0,2,0,9228,v2x,2024-08-02 05:19:04,은평구
PVDL-IDV1257526270-1722571728-4206,2,IDV1257526270,1722575944027.0,2024,08,141904,027,126.929929,37.563921,32.0,001,1722575944005.0,143.775,0.0,2,0,9228,v2x,2024-08-02 05:19:04,서대문구
PVDL-IDV1257525570-1722564171-11763,2,IDV1257525570,1722575944132.0,2024,08,141904,132,127.02754,37.606195,44.0,001,1722575944003.0,42.3875,7.0,2,0,9228,v2x,2024-08-02 05:19:04,성북구
PVDL-IDV1257522010-1722542094-33846,2,IDV1257522010,1722575944176.0,2024,08,141904,176,126.983125,37.497048,24.0,001,1722575944003.0,202.925,25.0,2,0,9228,v2x,2024-08-02 05:19:04,서초구
PVDL-IDV1257520280-1722570604-5330,2,IDV1257520280,1722575944034.0,2024,08,141904,034,127.078469,37.45961,68.0,001,1722575944004.0,248.4625,49.0,7,0,9228,v2x,2024-08-02 05:19:04,서초구
PVDL-IDV1257520270-1722569420-6514,2,IDV1257520270,1722575944367.0,2024,08,141904,367,127.038882,37.473059,37.0,001,1722575944005.0,359.725,9.0,1,0,9228,v2x,2024-08-02 05:19:04,서초구
PVDL-IDV1257519150-1722566053-9881,2,IDV1257519150,1722575944144.0,2024,08,141904,144,126.863648,37.539473,44.0,001,1722575944005.0,184.01250000000002,0.0,7,0,9228,v2x,2024-08-02 05:19:04,강서구
PVDL-IDV1257519140-1722573874-2059,2,IDV1257519140,1722575944364.0,2024,08,141904,357,126.863683,37.539112,47.0,001,1722575944003.0,11.225000000000001,0.0,7,0,9228,v2x,2024-08-02 05:19:04,양천구
